name_raw,name_family,name_first,title,fraction,period,state
Eder Kurt,Eder,Kurt,NA,SPÖ,XVII,W
"Eder Sebastian, Dr.",Eder,Sebastian,Dr.,ÖVP,XXIII,T
"Ederer Brigitte, Mag.",Ederer,Brigitte,Mag.,SPÖ,XVI,W
"Eder-Gitschthaler Andrea, Dr.",Eder-Gitschthaler,Andrea,Dr.,ÖVP,XXIII,S
"Eder-Lindner Astrid Monika, Dr.",Eder-Lindner,Astrid Monika,Dr.,OK,XXV,BWV
Edler Josef,Edler,Josef,NA,SPÖ,XVIII,W
Edlinger Rudolf,Edlinger,Rudolf,NA,SPÖ,XXI,W
Edlinger Wolfgang,Edlinger,Wolfgang,NA,CSP,I,St
Egg Herbert,Egg,Herbert,NA,SPÖ,XII,T
Egger Bernhard,Egger,Bernhard,NA,OK,I,K
Egghart Robert,Egghart,Robert,NA,F,XXI,W
Ehgartner Hans,Ehgartner,Hans,NA,ÖVP,IX,1
Ehmann Michael,Ehmann,Michael,NA,SPÖ,XXIII,St
Ehrenfried Anton,Ehrenfried,Anton,NA,ÖVP,VI,N
Eibegger Max,Eibegger,Max,NA,SPÖ,V,St
Eichinger Johann,Eichinger,Johann,NA,CSP,IV,N
Eichinger Karl,Eichinger,Karl,NA,ÖVP,VI,N
Eigruber Hermann,Eigruber,Hermann,NA,FPÖ,XVI,2
"Einem Caspar, Dr.",Einem,Caspar,Dr.,SPÖ,XX,W
"Einwallner Reinhold, Ing.",Einwallner,Reinhold,Ing.,SPÖ,XXVI,V
Einwallner Thomas,Einwallner,Thomas,NA,ÖVP,XXIII,St
Eisenhut Josef,Eisenhut,Josef,NA,CSP,I,N
"Eisenschenk Peter, Mag.",Eisenschenk,Peter,Mag.,ÖVP,XXIII,N
"Eisler Arnold, Dr.",Eisler,Arnold,Dr.,SdP,I,St
"El Habbassi Asdin, BA",El,Habbassi Asdin,BA,ÖVP,XXV,BWV
Eldersch Matthias,Eldersch,Matthias,NA,SdP,I,W
"Ellenbogen Wilhelm, Dr.",Ellenbogen,Wilhelm,Dr.,SdP,I,W
Ellend Bernhard,Ellend,Bernhard,NA,CSP,IV,1
Ellmauer Matthias,Ellmauer,Matthias,NA,ÖVP,XIX,O
Ellmerer Hans,Ellmerer,Hans,NA,CSP,IV,T
Elmecker Robert,Elmecker,Robert,NA,SPÖ,XV,O
"El-Nagashi Faika, Mag.",El-Nagashi,Faika,Mag.,GRÜNE,XXVII,W
Elser Viktor,Elser,Viktor,NA,KPÖ,V,4
Elshuber August,Elshuber,August,NA,HB,IV,3
Emhart Maria,Emhart,Maria,NA,SPÖ,VII,S
Enge Franz,Enge,Franz,NA,SPÖ,VII,O
"Engelberg Martin, Mag.",Engelberg,Martin,Mag.,ÖVP,XXVI,BWV
Enser Maria,Enser,Maria,NA,SPÖ,VII,O
Entner Richard,Entner,Richard,NA,ÖVP,VI,W
"Erasim Melanie, MSc",Erasim,Melanie,MSc,SPÖ,XXVI,N
Erlinger Helga,Erlinger,Helga,NA,GRÜNE,XVII,N
"Ermacora Felix, Dr.",Ermacora,Felix,Dr.,ÖVP,XIII,2
"Ernst-Dziedzic Ewa, Dr.",Ernst-Dziedzic,Ewa,Dr.,GRÜNE,XXVII,W
Ertl Ferdinand,Ertl,Ferdinand,NA,GdP,II,2
Ertl Franz,Ertl,Franz,NA,CSP,II,O
"Ertlschweiger Rouven, MSc",Ertlschweiger,Rouven,MSc,STRONACH,XXV,BWV
Eßl Franz Leonhard,Eßl,Franz Leonhard,NA,ÖVP,XXII,S
"Ettmayer Wendelin, Dr.",Ettmayer,Wendelin,Dr.,ÖVP,XIV,W
Exler Rudolf,Exler,Rudolf,NA,SPÖ,VII,St
"Eypeltauer Beatrix, Dr.",Eypeltauer,Beatrix,Dr.,SPÖ,XIV,O
"Eypeltauer Felix, Mag.",Eypeltauer,Felix,Mag.,NEOS,XXVII,O
Fachleutner Karl,Fachleutner,Karl,NA,ÖVP,X,N
Fageth Ferdinand,Fageth,Ferdinand,NA,SPÖ,V,O
Fahrner Anton,Fahrner,Anton,NA,GdP,III,N
Falger Nikolaus,Falger,Nikolaus,NA,CSP,II,T
Falle Anton,Falle,Anton,NA,SdP,I,K
"Fallent Gerhard, Ing.",Fallent,Gerhard,Ing.,F,XXI,O
"Fasslabend Werner, Dr.",Fasslabend,Werner,Dr.,ÖVP,XVII,N
Fast Franziska,Fast,Franziska,NA,SPÖ,XVI,W
Faul Christian,Faul,Christian,NA,SPÖ,XXI,St
Fauland Adolf,Fauland,Adolf,NA,SPÖ,XIV,St
Fauland Markus,Fauland,Markus,NA,F,XXII,S
Faymann Werner,Faymann,Werner,NA,SPÖ,XXIV,BWV
Fazekas Hannes,Fazekas,Hannes,NA,SPÖ,XXIII,N
"Feichtinger Elisabeth, BEd BEd",Feichtinger,Elisabeth,BEd BEd,SPÖ,XXVI,BWV
"Feichtinger Klaus Uwe, Mag. Dr.",Feichtinger,Klaus Uwe,Mag. Dr.,SPÖ,XXV,St
"Fekter Maria Theresia, Mag. Dr.",Fekter,Maria Theresia,Mag. Dr.,ÖVP,XVIII,O
Felzmann Carina,Felzmann,Carina,NA,ÖVP,XXII,W
"Ferrero-Waldner Benita, Dr.",Ferrero-Waldner,Benita,Dr.,ÖVP,XX,BWV
"Ferrero-Waldner Benita-Maria, Dr. siehe Ferrero-Waldner Benita, Dr.",Ferrero-Waldner,Benita-Maria,Dr.,ÖVP,XX,BWV
"Fertl Rudolf, Dr.",Fertl,Rudolf,Dr.,SPÖ,XIV,N
"Feurstein Gottfried, Dr.",Feurstein,Gottfried,Dr.,ÖVP,XIV,V
"Fichtenbauer Peter, Dr.",Fichtenbauer,Peter,Dr.,FPÖ,XXIII,W
Fichtinger Angela,Fichtinger,Angela,NA,ÖVP,XXV,N
"Fiedler Fiona, BEd",Fiedler,Fiona,BEd,NEOS,XXVII,St
"Fiedler Kurt, Dipl.-Kfm. Dr.",Fiedler,Kurt,Dipl.-Kfm. Dr.,ÖVP,X,1
"Figl Leopold, Dipl.-Ing. DDDr. h.c.",Figl,Leopold,Dipl.-Ing. DDDr. h.c.,ÖVP,V,N
Fink Ernst,Fink,Ernst,NA,ÖVP,XVI,St
"Fink Jodok, Dr. h.c.",Fink,Jodok,Dr. h.c.,CSP,I,V
"Fink Josef, Dr.",Fink,Josef,Dr.,ÖVP,VI,T
